Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2021-03-10,119.9800033569336,232.4199981689453,101.80950164794922,152.8820037841797,222.68666076660156
2021-03-11,121.95999908447266,237.1300048828125,105.0270004272461,155.67950439453125,233.1999969482422
2021-03-12,121.02999877929688,235.75,102.5,154.47450256347656,231.2433319091797
2021-03-15,123.98999786376953,234.80999755859375,102.72200012207031,154.08399963378906,235.97999572753906
2021-03-16,125.56999969482422,237.7100067138672,104.19450378417969,154.59300231933594,225.6266632080078
2021-03-17,124.76000213623047,237.0399932861328,104.11100006103516,156.7864990234375,233.93666076660156
2021-03-18,120.52999877929688,230.72000122070312,101.06700134277344,151.39950561523438,217.72000122070312
2021-03-19,119.98999786376953,230.35000610351562,101.3479995727539,153.7480010986328,218.2899932861328
2021-03-22,123.38999938964844,235.99000549316406,101.53450012207031,155.5435028076172,223.3333282470703
2021-03-23,122.54000091552734,237.5800018310547,102.06649780273438,156.875,220.72000122070312
2021-03-24,120.08999633789062,235.4600067138672,101.62650299072266,154.35350036621094,210.08999633789062
2021-03-25,120.58999633789062,232.33999633789062,101.62300109863281,152.31300354003906,213.4633331298828
2021-03-26,121.20999908447266,236.47999572753906,101.23650360107422,152.60150146484375,206.23666381835938
2021-03-29,121.38999938964844,235.24000549316406,102.28949737548828,153.7864990234375,203.76333618164062
2021-03-30,119.9000015258789,231.85000610351562,102.32350158691406,152.76449584960938,211.8733367919922
2021-03-31,122.1500015258789,235.77000427246094,103.1259994506836,154.70399475097656,222.64332580566406
2021-04-01,123.0,242.35000610351562,106.48899841308594,158.0500030517578,220.5833282470703
2021-04-05,125.9000015258789,249.07000732421875,110.947998046875,161.3365020751953,230.35000610351562
2021-04-06,126.20999908447266,247.86000061035156,110.46299743652344,161.1909942626953,230.5399932861328
2021-04-07,127.9000015258789,249.89999389648438,111.95149993896484,163.96949768066406,223.6566619873047
2021-04-08,130.36000061035156,253.25,112.52149963378906,164.96499633789062,227.93333435058594
2021-04-09,133.0,255.85000610351562,113.53350067138672,168.61000061035156,225.67333984375
2021-04-12,131.24000549316406,255.91000366210938,112.23100280761719,168.96949768066406,233.9933319091797
2021-04-13,134.42999267578125,258.489990234375,112.72149658203125,170.0,254.10667419433594
2021-04-14,132.02999877929688,255.58999633789062,112.09549713134766,166.64999389648438,244.07666015625
2021-04-15,134.5,259.5,114.26249694824219,168.95449829101562,246.28334045410156
2021-04-16,134.16000366210938,260.739990234375,114.13749694824219,169.9720001220703,246.5933380126953
2021-04-19,134.83999633789062,258.739990234375,114.48799896240234,168.60049438476562,238.2100067138672
2021-04-20,133.11000061035156,258.260009765625,113.95050048828125,166.7344970703125,239.663330078125
2021-04-21,133.5,260.5799865722656,113.9175033569336,168.1009979248047,248.0399932861328
2021-04-22,131.94000244140625,257.1700134277344,112.6259994506836,165.45199584960938,239.89666748046875
2021-04-23,134.32000732421875,261.1499938964844,114.99649810791016,167.04400634765625,243.13333129882812
2021-04-26,134.72000122070312,261.54998779296875,115.49649810791016,170.4499969482422,246.06666564941406
2021-04-27,134.38999938964844,261.9700012207031,114.54900360107422,170.8715057373047,234.913330078125
2021-04-28,133.5800018310547,254.55999755859375,117.9520034790039,172.9250030517578,231.46665954589844
2021-04-29,133.47999572753906,252.50999450683594,119.63800048828125,173.5655059814453,225.6666717529297
2021-04-30,131.4600067138672,252.17999267578125,117.67500305175781,173.37100219726562,236.47999572753906
2021-05-03,132.5399932861328,251.86000061035156,117.15399932861328,169.32449340820312,228.3000030517578
2021-05-04,127.8499984741211,247.7899932861328,115.34149932861328,165.593505859375,224.53334045410156
2021-05-05,128.10000610351562,246.47000122070312,115.7385025024414,163.52699279785156,223.64666748046875
2021-05-06,129.74000549316406,249.72999572753906,116.86750030517578,165.31849670410156,221.17999267578125
2021-05-07,130.2100067138672,252.4600067138672,117.59649658203125,164.58050537109375,224.1233367919922
2021-05-10,126.8499984741211,247.17999267578125,114.5875015258789,159.52450561523438,209.67999267578125
2021-05-11,125.91000366210938,246.22999572753906,113.50299835205078,161.19549560546875,205.73333740234375
2021-05-12,122.7699966430664,239.0,110.01249694824219,157.5970001220703,196.6300048828125
2021-05-13,124.97000122070312,243.02999877929688,111.4520034790039,158.07350158691406,190.56333923339844
2021-05-14,127.44999694824219,248.14999389648438,113.91899871826172,161.14500427246094,196.5800018310547
2021-05-17,126.2699966430664,245.17999267578125,114.44599914550781,163.51950073242188,192.27667236328125
2021-05-18,124.8499984741211,243.0800018310547,113.12349700927734,161.61399841308594,192.6233367919922
2021-05-19,124.69000244140625,243.1199951171875,113.57499694824219,161.58999633789062,187.82000732421875
2021-05-20,127.30999755859375,246.47999572753906,115.34750366210938,162.38400268554688,195.5933380126953
2021-05-21,125.43000030517578,245.1699981689453,114.70649719238281,160.1540069580078,193.6266632080078
2021-05-24,127.0999984741211,250.77999877929688,118.052001953125,162.24949645996094,202.14666748046875
2021-05-25,126.9000015258789,251.72000122070312,118.14350128173828,162.95249938964844,201.56333923339844
2021-05-26,126.8499984741211,251.49000549316406,119.0155029296875,163.25799560546875,206.3766632080078
2021-05-27,125.27999877929688,249.30999755859375,118.13400268554688,161.5054931640625,210.28334045410156
2021-05-28,124.61000061035156,249.67999267578125,117.84249877929688,161.15350341796875,208.4066619873047
2021-06-01,124.27999877929688,247.39999389648438,119.05899810791016,160.9324951171875,207.96665954589844
2021-06-02,125.05999755859375,247.3000030517578,118.52950286865234,161.69949340820312,201.7066650390625
2021-06-03,123.54000091552734,245.7100067138672,117.37899780273438,159.35049438476562,190.94667053222656
2021-06-04,125.88999938964844,250.7899932861328,119.67849731445312,160.31100463867188,199.68333435058594
2021-06-07,125.9000015258789,253.80999755859375,120.11499786376953,159.90049743652344,201.7100067138672
2021-06-08,126.73999786376953,252.57000732421875,119.9219970703125,163.20550537109375,201.19667053222656
2021-06-09,127.12999725341797,253.58999633789062,120.39700317382812,164.0574951171875,199.5933380126953
2021-06-10,126.11000061035156,257.239990234375,121.75650024414062,167.4824981689453,203.3733367919922
2021-06-11,127.3499984741211,257.8900146484375,121.51000213623047,167.3415069580078,203.29666137695312
2021-06-14,130.47999572753906,259.8900146484375,122.44550323486328,169.19349670410156,205.89666748046875
2021-06-15,129.63999938964844,258.3599853515625,121.41950225830078,169.156494140625,199.7866668701172
2021-06-16,130.14999389648438,257.3800048828125,120.77249908447266,170.7624969482422,201.6233367919922
2021-06-17,131.7899932861328,260.8999938964844,121.74349975585938,174.46200561523438,205.53334045410156
2021-06-18,130.4600067138672,259.42999267578125,120.11100006103516,174.34500122070312,207.77000427246094
2021-06-21,132.3000030517578,262.6300048828125,121.8125,172.697998046875,206.94332885742188
2021-06-22,133.97999572753906,265.510009765625,122.33049774169922,175.27200317382812,207.90333557128906
2021-06-23,133.6999969482422,265.2699890136719,122.12699890136719,175.1909942626953,218.85667419433594
2021-06-24,133.41000366210938,266.69000244140625,122.5,172.45399475097656,226.60667419433594
