Date,Adj_Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return,Price_Change,Price_Range,MA_5,MA_20,MA_50,MA_200,MA_5_20_Diff,MA_50_200_Diff,RSI,MACD,MACD_Signal,MACD_Hist,BB_Lower,BB_Middle,BB_Upper,BB_Width,ATR,OBV,Stoch_K,Stoch_D,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,Close_Lag_5,Volume_Lag_5,Close_Lag_10,Volume_Lag_10,Target,Target_Direction,Target_Return
2021-12-21,169.27728271484375,172.99000549316406,173.1999969482422,169.1199951171875,171.55999755859375,91185900,0.01908692484927288,0.018907054674308973,1.4300079345703125,4.0800018310546875,173.08800048828124,168.8585006713867,157.4756008911133,142.00930011749267,4.229499816894531,15.466300773620617,59.38440560597644,4.867351237508615,-0.555355935875256,5.422707173383871,155.48386174355844,168.85850067138676,182.2331395992151,26.749277855656658,4.8616420384533265,983424900.0,55.45964197979167,59.226421982348214,169.75,107499100.0,171.13999938964844,195432700.0,172.25999450683594,150185800.0,174.3300018310547,139380400.0,171.17999267578125,120405400.0,175.63999938964844,1,1.531876878626432
2021-12-22,171.87037658691406,175.63999938964844,175.86000061035156,172.14999389648438,173.0399932861328,92135300,0.01531876878626437,0.015202621105387719,2.600006103515625,3.7100067138671875,172.3559997558594,169.57000045776368,158.15820098876952,142.28760009765625,2.785999298095703,15.87060089111327,62.20947595749342,4.835135543524331,-0.4700573038876321,5.305192847411963,156.35064806591234,169.5700004577637,182.78935284961509,26.438704783702747,4.77938237241146,1075560200.0,60.863070354124204,56.927400777360816,172.99000549316406,91185900.0,169.75,107499100.0,171.13999938964844,195432700.0,179.3000030517578,131063300.0,175.0800018310547,116998900.0,176.27999877929688,1,0.3643813435848581
2021-12-23,172.49667358398438,176.27999877929688,176.85000610351562,175.27000427246094,175.85000610351562,68356600,0.0036438134358485197,0.003637190830487573,0.42999267578125,1.5800018310546875,173.16000061035157,170.2870002746582,158.86560089111327,142.55920009613038,2.8730003356933764,16.306400794982892,62.88098560964555,4.805848150049627,-0.3994757578898689,5.205323907939496,157.25591192586654,170.28700027465825,183.31808862344997,26.062176697583425,4.550855190885976,1143916800.0,66.89992592248188,61.07421275213258,175.63999938964844,92135300.0,172.99000549316406,91185900.0,169.75,107499100.0,172.25999450683594,150185800.0,174.55999755859375,108923700.0,180.3300018310547,1,2.2974830268908892
2021-12-27,176.45968627929688,180.3300018310547,180.4199981689453,177.07000732421875,177.08999633789062,74919600,0.022974830268908786,0.02271488282410102,3.2400054931640625,3.3499908447265625,174.9980010986328,171.46300048828124,159.59700103759766,142.85570011138915,3.535000610351574,16.74130092620851,66.8904231271779,5.051211852737595,-0.12328964416152122,5.174501496899116,159.33936763091745,171.46300048828127,183.58663334564508,24.247265714727632,4.521508347940437,1218836400.0,75.33220047276131,67.6983989164558,176.27999877929688,68356600.0,175.63999938964844,92135300.0,172.99000549316406,91185900.0,171.13999938964844,195432700.0,179.4499969482422,115402700.0,179.2899932861328,0,-0.5767251895756232
2021-12-28,175.44204711914062,179.2899932861328,181.3300018310547,178.52999877929688,180.16000366210938,79144300,-0.00576725189575622,-0.005783946712725312,-0.8700103759765625,2.8000030517578125,176.90599975585937,172.41549987792968,160.2860009765625,143.13220008850098,4.490499877929693,17.15380088806151,64.95027777754507,5.102921059490967,-0.05726434992651974,5.160185409417487,161.03381701524188,172.41549987792968,183.79718274061747,22.763365725375593,4.398543683927392,1139692100.0,78.53252959361731,73.5882186629535,180.3300018310547,74919600.0,176.27999877929688,68356600.0,175.63999938964844,92135300.0,169.75,107499100.0,175.74000549316406,153237000.0,179.3800048828125,1,0.05020447322792635
2021-12-29,175.5301513671875,179.3800048828125,180.6300048828125,178.13999938964844,179.3300018310547,62348900,0.0005020447322792165,0.0005019187499866792,0.0500030517578125,2.4900054931640625,178.18399963378906,173.11949996948243,160.9426010131836,143.40125011444093,5.064499664306624,17.541350898742678,65.04477708838446,5.092461436488804,-0.054179178342946166,5.1466406148317505,161.84970279166,173.11949996948243,184.38929714730486,22.53959435564485,4.262219527444297,1202041000.0,83.20832635575623,79.02435214071161,179.2899932861328,79144300.0,180.3300018310547,74919600.0,176.27999877929688,68356600.0,172.99000549316406,91185900.0,174.3300018310547,139380400.0,178.1999969482422,0,-0.6578257901939528
2021-12-30,174.3754425048828,178.1999969482422,180.57000732421875,178.08999633789062,179.47000122070312,59773000,-0.006578257901939555,-0.006599989999108213,-1.2700042724609375,2.480010986328125,178.6959991455078,173.79099960327147,161.53140106201172,143.66845008850098,4.9049995422363395,17.86295097351075,62.65969419604084,4.932101139510138,-0.17163158025729075,5.103732719767429,163.0268417680541,173.79099960327147,184.55515743848883,21.528315670434722,4.134918917364571,1142268000.0,78.36850552260059,80.03645382399137,179.3800048828125,62348900.0,179.2899932861328,79144300.0,180.3300018310547,74919600.0,175.63999938964844,92135300.0,179.3000030517578,131063300.0,177.57000732421875,0,-0.3535295369317075
2021-12-31,173.7589874267578,177.57000732421875,179.22999572753906,177.25999450683594,178.08999633789062,64062300,-0.0035352953693170708,-0.00354155929356373,-0.519989013671875,1.970001220703125,178.9540008544922,174.48150024414062,162.09760131835938,143.95365013122557,4.472500610351574,18.14395118713381,61.365940525641,4.700000866861046,-0.32298548232510615,5.022986349186152,164.69974806613683,174.48150024414065,184.26325242214446,19.563504356007627,3.9802819390316104,1078205700.0,74.46033425107974,78.67905537647886,178.1999969482422,59773000.0,179.3800048828125,62348900.0,179.2899932861328,79144300.0,176.27999877929688,68356600.0,172.25999450683594,150185800.0,182.00999450683594,1,2.500415047294768
2022-01-03,178.1036376953125,182.00999450683594,182.8800048828125,177.7100067138672,177.8300018310547,104487900,0.025004150472947684,0.024696661824073523,4.17999267578125,5.1699981689453125,179.28999938964844,175.4900001525879,162.7482012939453,144.2637501144409,3.799999237060547,18.48445117950439,66.60004314157698,4.818781672181103,-0.16336374160403988,4.982145413785143,167.1420174402463,175.4900001525879,183.8379828649295,16.69596542468321,4.075261626143192,1182693600.0,78.82821779742974,77.21901919037002,177.57000732421875,64062300.0,178.1999969482422,59773000.0,179.3800048828125,62348900.0,180.3300018310547,74919600.0,171.13999938964844,195432700.0,179.6999969482422,0,-1.2691597320536103
2022-01-04,175.84326171875,179.6999969482422,182.94000244140625,179.1199951171875,182.6300048828125,99310400,-0.012691597320536152,-0.012772823634754954,-2.9300079345703125,3.82000732421875,179.37200012207032,176.20899963378906,163.36840118408202,144.54530010223388,3.1630004882812557,18.823101081848137,61.901255334644254,4.672655356322593,-0.24759204597004025,4.920247402292634,169.17557586921475,176.20899963378906,183.24242339836337,14.066847529148617,4.057029176005732,1083383200.0,80.78126768528004,78.02327324459651,182.00999450683594,104487900.0,177.57000732421875,64062300.0,178.1999969482422,59773000.0,179.2899932861328,79144300.0,169.75,107499100.0,174.9199981689453,0,-2.6599882362121723
